272411,"SHRI CHAITANYA PU COLLEGE, SHRI CHAITANYA PU COLLEGE, CHUKANAKAL ROAD KOPPAL-583231, KOPPAL, KARNATAKA"
272503,"SCHOOL OF INDIA, AL NO - 2923 KHASIM KHAN NAGAR MYSORE CHANNARAYAPATNA HIGHWAY KRISHNARAJPET MANDYA - 571426, MANDYA, KARNATAKA"
270818,"JSS PUBLIC SCHOOL, SIDDARTHANAGAR, VINAYA MARGA SIDDARTHANAGAR MYSURU 570011, MYSURU (MYSORE), KARNATAKA"
270909,"DON BOSCO PRIMARY SCHOOL TRASI HOSADU UDUPI KK, DON BOSCO PRIMARY SCHOOL TRASI GUJJADI POST HOSADU KUNDAPURA TALUK UDUPI DISTKARNATAKA, UDUPI/MANIPAL, KARNATAKA"
271251,"KENDRIYA VIDYALAYA MALLESHWARAM, KENDRIYA VIDYALAYA 18TH CROSS ADJ TO 18TH CROSS BUS DEPOT MALLESHWARAM, BENGALURU- URBAN,KARNATAKA"
271252,"RADCLIFFE SCHOOL, #15 MILESTONE, GOTTIGERE BANNERGHATTA ROAD, BENGALURU- URBAN, KARNATAKA"
271314,"KENDRIYA VIDYALAYA AFS, KENDRIYA VIDYALAYA CHIDRI ROAD AIR FORCE STATION BIDAR PIN CODE: 585401., BIDAR, KARNATAKA"
280118,"MAR GREGORIOUS MEM CEN SCH KARUVATTA ALLEPPEY KL, MAR GREGORIOUS MEMORIAL CENTRAL SCHOOL KARUVATA P.O. ALLPPEY KERALA,ALAPPUZHA/CHENGANNUR, KERALA"
280930,"BENCHMARKS INTERNATIONAL SCHOOL MANJERI, PVR METRO VILLAGE KOOMAMKULAM MALAMKULAM KARUVAMBRAM, MALAPPURAM, KERALA"
281013,"VYASA VIDYA PEETHOM, KALLEKKAD PALAKKAD KALLEKKAD ARMED RESERVE POLICE CAMP KALLEKKAD, PALAKKAD, KERALA"
280419,"MALABAR ENG SCH CHAKKARAKAL MOWANCHERY KANNUR KL, MALABAR ENGLISH SCHOOL PRAKASHPURI CHAKKARAKKAL P.O. MOWANCHERY KANNURKERALA, KANNUR, KERALA"
281126,"KENDRIYA VIDYALAYA (AFS) TRIVANDRUM AKKULAM, AIR FORCE STATION AKKULAM ANAYARA NEAR KIMS HOSPITAL, THIRUVANANTHAPURAM, KERALA"
280728,"VIDYANANDA VIDYABHAVAN VAZHOOR KOTTAYAM KERALA, VIDYANANDA VIDYABHAVAN VAZHOOR PO KONDUNGOOR CHANGANACHERRY KOTTAYAMKERALA, KOTTAYAM, KERALA"
280729,"EXCELSIOR ENG SCHOOL ILLIEKAL KOTTAYAM WEST KL, EXCELSIOR ENGLISH SCHOOL ILLIEKAL KOTTAYAM WEST KERALA, KOTTAYAM, KERALA"
280730,"JR BASELIOS ENG MED SCH PAMPADY (S) KOTTAYAM KL, JUNIOR BASELIOS ENGLISH MEDIUM SCHOOL SOUTH PAMPADY KOTTAYAM PO KERALA,KOTTAYAM, KERALA"
280839,"AL IRSHAD CENTRAL SCH NEELESWARAM CALICUT KERALA, AL IRSHAD CENTRAL SCHOOL THECHIYAD NEELESWARAM POST OFFICE OMASSERY (VIA)CALICUT KERALA, KOZHIKODE/CALICUT, KERALA"
290101,"PM SHRI.GSS SCHOOL, KAVARATTI, PRINCIPAL, PMSHRI.GSS SCHOOL, NEAR KAVARATTI ISLAND  UT, KAVARATTI, LAKSHADWEEP (UT)"
